用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id
77545379195,玖贰,2025.10.11,浙江,孤独和干啥,0,7559867871112596762
1634347675030523,谢美华,2025.10.11,福建,[666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][衰][衰][衰],0,7559867871112596762
1159351306553753,嘟嘟陈,2025.10.11,河南,[爱心][爱心],0,7559867871112596762
3889431622991003,用户4009002757287,2025.10.11,湖南,[666][666][666][666][666],0,7559867871112596762
77607563429,思念是一种病,2025.10.11,上海,[666][666][666][666][666][666][666],0,7559867871112596762
3569447932008508,萍,2025.10.11,福建,[666][666][666][666][666][666][666][666][666][666],0,7559867871112596762
1896037319474403,林柔月,2025.10.11,安徽,[666][666][666][666][666][666],0,7559867871112596762
1090364167434744,江江宝Q（元梦新人）,2025.10.11,福建,[666][666][666][666],0,7559867871112596762
4424038065897936,凌儿,2025.10.11,山西,[666],0,7559867871112596762
3628840186574973,用户4383396603963,2025.10.11,浙江,[666][666][666],0,7559867871112596762
3551898131768480,魏明磊,2025.10.11,广西,[666][666],0,7559867871112596762
95942235366,用户1040334497746,2025.10.11,江苏,[666][666][666],0,7559867871112596762
103758055544,呀,2025.10.11,安徽,[礼物],0,7559867871112596762
7527990335332697146,jinzhiyuye,2025.10.11,江苏,[666][666][666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762
655733950002959,涵涵,2025.10.11,山东,这个哪吒好帅 你喜欢谁 我喜欢和哪吒点赞的,0,7559867871112596762
2553486973089976,te,2025.10.11,广东,[666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762
2488909647578927,衡,2025.10.11,宁夏,[666][666][666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762
79300514540,梦想成真qian,2025.10.11,河南,@敖丙一夫人。,0,7559867871112596762
103758055544,呀,2025.10.11,安徽,Dbb,0,7559867871112596762
102519742441,。,2025.10.11,广东,[666][666][666][666][666][666][666][666][666][666][666][666][加一][加一][加一][加一][加一][加一][加一][加一][加一][加一][加一][加一][666][666],0,7559867871112596762
77545379195,玖贰,2025.10.11,浙江,孤独和干啥,0,7559867871112596762
3035068293462013,小鲨鱼,2025.10.11,贵州,[666][666][666][666],0,7559867871112596762
110878809816,用户56284683,2025.10.11,湖南,[666][666][666],0,7559867871112596762
2542509338929563,子芳,2025.10.11,浙江,[666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762
