用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id,scores,segmented
76197710932,一零,2025.10.09,江西,美萌美萌,0,7559137279701208355,0.9969406885521429,美萌 美萌
74566619819,ayo,2025.10.09,江西,这是什么标签,0,7559137279701208355,0.38709677419354827,这是 标签
100105680859,王八蛋.,2025.10.09,江西,[图片表情],0,7559137279701208355,0.6533798506251355,[ 图片 表情 ]
2343794489428891,hhhhh,2025.10.09,江西,好米[色],0,7559137279701208355,0.3486462542296177,好米 [ 色 ]
68446415980,fire,2025.10.09,湖北,[图片表情],0,7559137279701208355,0.6533798506251355,[ 图片 表情 ]
105465425936,🍊😊🥩,2025.10.09,江西,[图片表情],0,7559137279701208355,0.6533798506251355,[ 图片 表情 ]
106072301205,千岛眠,2025.10.11,吉林,？,0,7559909427475991868,0.5262327818078083,？
1824840230377448,麦香鱼鱼鱼Echo,2025.10.11,吉林,我要看我是哪吒,0,7559909427475991868,0.7936898945060138,我要 看 哪吒
75450234293,"Song""",2025.10.11,湖南,[愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快][愉快],0,7559754485381647651,0.6300858133363942,[ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ] [ 愉快 ]
4054624617901086,85981166810,2025.10.11,河北,[666],0,7559754485381647651,0.5,[ 666 ]
3026320707822840,Azizgul0101,2025.10.11,新疆,[666],0,7559754485381647651,0.5,[ 666 ]
2837159281965747,小佳忆,2025.10.11,吉林,[666],0,7559754485381647651,0.5,[ 666 ]
474623261298237,🍭糖小萌🍭,2025.10.11,江苏,[666][666][666][666][666][666],0,7559754485381647651,0.37165162461671686,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
2762394538879853,🐭 闹闹可真闹,2025.10.11,天津,[666],0,7559754485381647651,0.5,[ 666 ]
91938561059,キキ日语老师,2025.10.11,山西,[666][666][666][666][666][666],0,7559754485381647651,0.37165162461671686,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
100377556682,馨,2025.10.11,江西,[666][666][666][666],0,7559754485381647651,0.421874597530976,[ 666 ] [ 666 ] [ 666 ] [ 666 ]
3623607494263719,明天更好赵云先,2025.10.11,山东,[666][666][666][666],0,7559754485381647651,0.421874597530976,[ 666 ] [ 666 ] [ 666 ] [ 666 ]
79154769335,🌈糖(ʘ̆ʚʘ̆)💨,2025.10.11,天津,@[666],0,7559754485381647651,0.8182313426953005,@ [ 666 ]
1834426700406423,旺里旺气,2025.10.11,江苏,[杀马特][杀马特][抱抱你][抱抱你],0,7559754485381647651,0.9077993462544695,[ 杀马特 ] [ 杀马特 ] [ 抱抱 ] [ 抱抱 ]
3408095928124925,龙,2025.10.11,安徽,[杀马特],0,7559754485381647651,0.5504421039673002,[ 杀马特 ]
95171740027,篱開水的鱼,2025.10.11,安徽,[666][贴贴][玫瑰],0,7559754485381647651,0.7267663844054394,[ 666 ] [ 贴 贴 ] [ 玫瑰 ]
93266281383,〢ヽ 颜 色,2025.10.11,河南,9999999,0,7559754485381647651,0.5,9999999
4503682115810662,子夕娘娘,2025.10.11,山东,都想失去,1,7559867871112596762,0.5689860070900554,都 想
655733950002959,涵涵,2025.10.11,山东,这个哪吒好帅 你喜欢谁 我喜欢和哪吒点赞的,0,7559867871112596762,0.9955707322346318,哪吒 好帅   喜欢   喜欢 哪吒 点赞
57246794634,用户232749,2025.10.11,江西,666,0,7559867871112596762,0.5,666
3273684549117835,乌冬冬冬冬,2025.10.11,广东,666666唧吒,0,7559867871112596762,0.7848272212204557,666666 唧吒
79300514540,梦想成真qian,2025.10.11,河南,@敖丙一夫人。,0,7559867871112596762,0.9551242470392222,@ 敖丙一 夫人 。
4111827214810088,余明和,2025.10.11,云南,[666][666][666][666],0,7559867871112596762,0.421874597530976,[ 666 ] [ 666 ] [ 666 ] [ 666 ]
3173612314963428,用户8841581899437,2025.10.11,浙江,[666][666][666][666][666][666],0,7559867871112596762,0.37165162461671686,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
77545379195,玖贰,2025.10.11,浙江,孤独和干啥,0,7559867871112596762,0.9256082136879179,孤独 干
1634347675030523,谢美华,2025.10.11,福建,[666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][衰][衰][衰],0,7559867871112596762,0.49472275338448934,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 衰 ] [ 衰 ] [ 衰 ]
1159351306553753,嘟嘟陈,2025.10.11,河南,[爱心][爱心],0,7559867871112596762,0.9674967551141356,[ 爱心 ] [ 爱心 ]
3889431622991003,用户4009002757287,2025.10.11,湖南,[666][666][666][666][666],0,7559867871112596762,0.39649036561138595,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
77607563429,思念是一种病,2025.10.11,上海,[666][666][666][666][666][666][666],0,7559867871112596762,0.3474730362549653,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
3569447932008508,萍,2025.10.11,福建,[666][666][666][666][666][666][666][666][666][666],0,7559867871112596762,0.27984147275311977,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
1896037319474403,林柔月,2025.10.11,安徽,[666][666][666][666][666][666],0,7559867871112596762,0.37165162461671686,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
1090364167434744,江江宝Q（元梦新人）,2025.10.11,福建,[666][666][666][666],0,7559867871112596762,0.421874597530976,[ 666 ] [ 666 ] [ 666 ] [ 666 ]
4424038065897936,凌儿,2025.10.11,山西,[666],0,7559867871112596762,0.5,[ 666 ]
3628840186574973,用户4383396603963,2025.10.11,浙江,[666][666][666],0,7559867871112596762,0.44767845850986676,[ 666 ] [ 666 ] [ 666 ]
3551898131768480,魏明磊,2025.10.11,广西,[666][666],0,7559867871112596762,0.4737672181921908,[ 666 ] [ 666 ]
95942235366,用户1040334497746,2025.10.11,江苏,[666][666][666],0,7559867871112596762,0.44767845850986676,[ 666 ] [ 666 ] [ 666 ]
103758055544,呀,2025.10.11,安徽,[礼物],0,7559867871112596762,0.7339449541284404,[ 礼物 ]
7527990335332697146,jinzhiyuye,2025.10.11,江苏,[666][666][666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762,0.22091695429926161,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
655733950002959,涵涵,2025.10.11,山东,这个哪吒好帅 你喜欢谁 我喜欢和哪吒点赞的,0,7559867871112596762,0.9955707322346318,哪吒 好帅   喜欢   喜欢 哪吒 点赞
2553486973089976,te,2025.10.11,广东,[666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762,0.25917217081084476,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
2488909647578927,衡,2025.10.11,宁夏,[666][666][666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762,0.22091695429926161,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
79300514540,梦想成真qian,2025.10.11,河南,@敖丙一夫人。,0,7559867871112596762,0.9551242470392222,@ 敖丙一 夫人 。
103758055544,呀,2025.10.11,安徽,Dbb,0,7559867871112596762,0.5,Dbb
